Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1688879002,11,1,1,1,0,nan,7,14,16,16,92,30,10,10,15,23,92,30
1688879302,11,1,1,1,0,nan,2,5,6,7,43,12,4,4,5,10,44,12
1688879602,11,1,1,1,0,nan,0,1,2,2,20,2,0,1,1,3,21,2
1688879902,11,1,1,1,0,nan,0,0,0,0,10,0,0,0,0,1,10,0
1688880202,11,1,1,1,0,nan,0,0,0,0,4,0,0,0,0,0,4,0
1688880502,11,1,1,1,0,nan,0,0,0,0,2,0,0,0,0,0,2,0
1688880802,11,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,0,0
1688881102,11,1,1,1,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
1688881402,11,1,1,1,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
1688881702,11,1,1,1,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
1688882002,11,1,1,1,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
1688882302,11,1,1,1,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
