Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1688673802,11,1,1,0,0,52250.433593,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688674102,11,1,1,0,0,57751.035156,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688674402,11,1,1,0,0,61529.226562,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688674702,11,1,1,0,0,63024.515625,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688675002,11,1,1,0,0,62934.062500,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688675302,11,1,1,0,0,63145.140625,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688675602,11,1,1,0,0,63041.199218,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688675902,11,1,1,0,0,60028.074218,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688676202,11,1,1,0,0,60527.183593,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688676502,11,1,1,0,0,59311.527343,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688676802,11,1,1,0,0,58815.347656,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688677102,11,1,1,0,0,58786.375000,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
