Timestamp,Amber,White,On,Override,Day_Ind
1687375921,0,1,0,0,12
1687375925,0,1,1,0,16
1687375929,0,1,0,0,20
1687375941,0,1,1,0,4
1687375945,0,1,0,0,8
1687375949,0,1,1,1,12
1687375953,1,1,0,0,16
1687375957,1,1,0,0,20
1687375961,1,1,1,1,24
1687375965,1,1,1,0,28
1687375969,1,1,0,0,32
1687375973,1,1,1,1,36
