Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1689753831,8,1,0,1,0,81.037239,1117,870,1260,2658,43858,3068,17090,33838,27263,8953,43863,3068
1689754131,8,1,0,1,0,81.037239,1121,872,1265,2670,44040,3080,17143,33971,27375,9002,44036,3082
1689754431,8,1,0,1,0,81.037239,1122,873,1266,2671,44047,3082,17149,33995,27395,9009,44042,3084
1689754731,8,1,0,1,0,74.424827,1123,875,1268,2676,44120,3086,17171,34028,27447,9032,44126,3090
1689755031,8,1,0,1,0,81.037239,1117,870,1262,2661,43905,3070,17107,33887,27295,8970,43909,3072
1689755331,8,1,0,1,0,81.037239,1119,871,1264,2665,43959,3074,17119,33914,27324,8977,43950,3076
1689755631,8,1,0,1,0,81.037239,1119,872,1263,2666,43954,3074,17121,33925,27326,8978,43952,3076
1689755931,8,1,0,1,0,81.037239,1116,869,1260,2660,43860,3067,17090,33849,27255,8950,43843,3068
1689756231,8,1,0,1,0,77.082855,1114,867,1258,2654,43763,3062,17061,33779,27190,8923,43755,3062
1689756531,8,1,0,1,0,77.082855,1113,867,1257,2653,43755,3060,17049,33776,27177,8916,43732,3062
1689756831,8,1,0,1,0,77.082855,1113,866,1256,2653,43704,3056,17048,33754,27155,8907,43715,3060
1689757131,8,1,0,1,0,77.082855,1115,867,1258,2655,43770,3060,17065,33779,27191,8923,43757,3063
