Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1689991403,8,1,1,0,0,1434.375000,39529,58718,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1689991703,8,1,1,0,0,1286.005493,35320,51928,64672,65535,65535,65535,65535,65535,65535,65535,65535,65535
1689992003,8,1,1,0,0,1202.453369,33735,49413,61217,65535,65535,65535,65535,65535,65535,65535,65535,65535
1689992303,8,1,1,0,0,1046.501953,31990,46409,57004,65535,65535,65535,65535,65535,65535,65535,65535,65535
1689992603,8,1,1,0,0,1166.797729,32697,48396,60458,65535,65535,65535,65535,65535,65535,65535,65535,65535
1689992903,8,1,1,0,0,1265.374511,37138,55280,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1689993203,8,1,1,0,0,1000.802673,27561,40605,50500,61539,65535,65535,65210,65535,65535,65535,65535,65535
1689993503,8,1,1,0,0,793.731750,23195,34145,42500,51291,65535,65535,54163,58896,65535,65535,65535,65535
1689993803,8,1,1,0,0,686.148193,19848,28799,35345,42827,65535,65535,44586,48505,55173,65535,65535,65535
1689994103,8,1,1,0,0,727.435974,20325,29567,36535,44597,65535,65535,46615,50677,58753,65535,65535,65535
1689994403,8,1,1,0,0,810.209106,22441,33363,41838,50986,65535,65535,53684,58787,65535,65535,65535,65535
1689994703,8,1,1,0,0,770.705017,22630,33364,41470,50198,65535,65535,52200,57023,65454,65535,65535,65535
