Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699380030,8,1,1,0,0,4.080000,107,185,214,206,1147,412,159,139,185,290,1145,410
1699380330,8,1,1,0,0,nan,42,74,85,80,432,134,60,51,67,104,432,134
1699380630,8,1,1,0,0,nan,15,28,32,29,164,40,21,18,24,37,164,42
1699380930,8,1,1,0,0,nan,5,10,11,10,61,10,7,6,7,12,60,10
1699381230,8,1,1,0,0,nan,0,2,3,1,21,0,1,1,1,2,20,0
1699381530,8,1,1,0,0,nan,0,0,0,0,7,0,0,0,0,0,6,0
1699381830,8,1,1,0,0,nan,0,0,0,0,3,0,0,0,0,0,3,0
1699382130,8,1,1,0,0,nan,0,0,0,0,0,0,0,0,0,0,1,0
1699382430,8,1,1,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
1699382730,8,1,1,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
1699383030,8,1,1,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
1699383330,8,1,1,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
