StartDate,Site,Treatment,Distance,Petri_dish_weight,Petri_dish_weight_plus_PF_sample,Biomass
2023-07-16,1,A,0m,3.0374,11.7144,8.677
2023-07-16,1,A,5m,3.1472,4.5551,1.4079
2023-07-16,2,C,0m,3.1469,7.3275,4.1806
2023-07-16,2,C,5m,3.1865,6.5986,3.4121
2023-07-16,3,A,0m,3.0643,5.383,2.3187
2023-07-16,3,A,5m,3.0343,3.137,0.1027
2023-07-16,4,W,0m,3.0465,3.81,0.7635
2023-07-16,4,W,5m,3.0893,3.2769,0.1876
2023-07-16,5,W,0m,3.1842,9.9765,6.7923
2023-07-16,5,W,5m,3.229,15.0646,11.8356
2023-07-16,6,C,0m,3.582,9.4847,5.9027
2023-07-16,6,C,5m,3.1774,4.0497,0.8723
2023-07-16,7,W,0m,3.1997,8.9991,5.7994
2023-07-16,7,W,5m,3.3218,4.6595,1.3377
2023-07-16,8,A,0m,3.1855,13.3634,10.1779
2023-07-16,8,A,5m,3.0732,11.5903,8.5171
2023-07-16,9,C,0m,3.0991,3.7477,0.6486
2023-07-16,9,C,5m,3.0805,3.9668,0.8863
2023-07-16,10,C,0m,3.1414,7.8152,4.6738
2023-07-16,10,C,5m,3.0852,6.927,3.8418
2023-07-16,11,C,0m,3.0398,3.402,0.3622
2023-07-16,11,C,5m,3.0799,5.288,2.2081
2023-07-16,12,C,0m,3.1439,5.3424,2.1985
2023-07-16,12,C,5m,3.0876,4.0714,0.9838
2023-07-21,1,C,0m,3.1602,7.3773,4.2171
2023-07-21,1,C,5m,3.1749,6.7644,3.5895
2023-07-21,2,A,0m,3.5274,14.3624,10.835
2023-07-21,2,A,5m,3.2316,5.6831,2.4515
2023-07-21,3,C,0m,3.0914,4.6087,1.5173
2023-07-21,3,C,5m,3.2516,3.7711,0.5195
2023-07-21,4,C,0m,3.1484,3.9051,0.7567
2023-07-21,4,C,5m,3.4045,5.8494,2.4449
2023-07-21,5,C,0m,3.45,4.601,1.151
2023-07-21,5,C,5m,3.3512,7.6506,4.2994
2023-07-21,6,A,0m,3.054,8.2944,5.2404
2023-07-21,6,A,5m,3.4333,4.3982,0.9649
2023-07-21,7,C,0m,3.2311,3.8647,0.6336
2023-07-21,7,C,5m,3.4656,4.1163,0.6507
2023-07-21,8,C,0m,3.648,6.8134,3.1654
2023-07-21,8,C,5m,3.4266,6.1273,2.7007
2023-07-21,9,A,0m,3.336,8.0294,4.6934
2023-07-21,9,A,5m,3.2415,4.0119,0.7704
2023-07-21,10,W,0m,3.4287,6.2746,2.8459
2023-07-21,10,W,5m,3.2538,6.5165,3.2627
2023-07-21,11,W,0m,3.4768,4.4224,0.9456
2023-07-21,11,W,5m,3.2448,4.3635,1.1187
2023-07-21,12,W,0m,3.2404,11.3053,8.0649
2023-07-21,12,W,5m,3.3072,6.5044,3.1972
2023-07-26,1,W,0m,2.9598,11.6935,8.7337
2023-07-26,1,W,5m,2.9536,4.6577,1.7041
2023-07-26,2,C,0m,3.0211,4.9355,1.9144
2023-07-26,2,C,5m,2.9227,4.9409,2.0182
2023-07-26,3,W,0m,3.008,3.5452,0.5372
2023-07-26,3,W,5m,2.9378,3.6912,0.7534
2023-07-26,4,A,0m,2.9417,5.8419,2.9002
2023-07-26,4,A,5m,2.9155,6.2967,3.3812
2023-07-26,5,A,0m,3.1311,8.1662,5.0351
2023-07-26,5,A,5m,3.0759,8.1299,5.054
2023-07-26,6,C,0m,3.0749,8.3001,5.2252
2023-07-26,6,C,5m,3.0414,4.5957,1.5543
2023-07-26,7,A,0m,3.0947,5.6716,2.5769
2023-07-26,7,A,5m,3.0548,3.2317,0.1769
2023-07-26,8,W,0m,2.9794,10.0806,7.1012
2023-07-26,8,W,5m,3.0081,5.9941,2.986
2023-07-26,9,C,0m,3.117,4.3134,1.1964
2023-07-26,9,C,5m,3.1558,5.5025,2.3467
2023-07-26,10,C,0m,3.1248,11.775,8.6502
2023-07-26,10,C,5m,2.9854,4.7948,1.8094
2023-07-26,11,C,0m,3.1155,3.5224,0.4069
2023-07-26,11,C,5m,3.2033,4.5664,1.3631
2023-07-26,12,C,0m,3.0767,4.0495,0.9728
2023-07-26,12,C,5m,2.9763,3.1478,0.1715
2023-07-31,1,C,0m,3.415,6.3657,2.9507
2023-07-31,1,C,5m,3.2751,4.4014,1.1263
2023-07-31,2,W,0m,3.5108,4.5249,1.0141
2023-07-31,2,W,5m,3.1255,3.3806,0.2551
2023-07-31,3,C,0m,3.2386,3.4664,0.2278
2023-07-31,3,C,5m,3.331,3.3154,-0.0156000000000001
2023-07-31,4,C,0m,3.3291,4.0041,0.675
2023-07-31,4,C,5m,3.3352,4.7919,1.4567
2023-07-31,5,C,0m,3.3169,5.5235,2.2066
2023-07-31,5,C,5m,3.2439,9.7807,6.5368
2023-07-31,6,W,0m,3.2523,6.1828,2.9305
2023-07-31,6,W,5m,3.2644,4.1252,0.8608
2023-07-31,7,C,0m,3.1611,3.9718,0.8107
2023-07-31,7,C,5m,3.2565,3.2605,0.004
2023-07-31,8,C,0m,3.2211,6.3468,3.1257
2023-07-31,8,C,5m,3.2305,6.2233,2.9928
2023-07-31,9,W,0m,3.1416,4.4075,1.2659
2023-07-31,9,W,5m,3.2399,3.3545,0.1146
2023-07-31,10,A,0m,3.2513,6.7239,3.4726
