StartDate,Site,Status,Folder,Label,
2023-06-21,6,,NA,NA,
2023-06-26,6,,6,6,
2023-07-01,6,,NA,NA,
2023-07-06,6,,6,6,
2023-07-11,6,,6,6,
2023-07-16,6,,6,6,
2023-07-21,6,,6,6,
2023-07-26,6,,6,6,
2023-07-31,6,,6,6,
2023-08-05,6,,6,6,
2023-08-10,6,,6,6,
2023-08-15,6,,6,6,
2023-08-20,6,,6,6,
2023-08-25,6,,6,6,
2023-08-30,6,,6,6,
2023-09-04,6,B,NA,NA,
2023-09-09,6,B,NA,NA,
2023-09-14,6,B,NA,NA,
2023-09-19,6,B,NA,NA,
2023-09-24,6,B,NA,NA,
2023-09-29,6,B,NA,NA,
2023-10-04,6,B,NA,NA,
2023-10-09,6,B,NA,NA,
2023-10-14,6,B,NA,NA,
2023-10-19,6,dep,6,6,
2023-10-24,6,,6,6,
2023-10-29,6,,6,6,
2023-11-03,6,,NA,NA,
2023-11-08,6,,6,6,
2023-11-13,6,,6,6,
2023-11-18,6,,6,6,
2023-11-23,6,,6,6,
2023-11-28,6,,6,6,
2023-12-03,6,,NA,NA,
2023-06-21,7,,NA,NA,
2023-06-26,7,,7,7,
2023-07-01,7,,NA,NA,
2023-07-06,7,,7,7,
2023-07-11,7,,7,7,
2023-07-16,7,,7,7,
2023-07-21,7,B,NA,NA,
2023-07-26,7,B,NA,NA,
2023-07-31,7,,7,7,
2023-08-05,7,,7,7,
2023-08-10,7,,7,7,
2023-08-15,7,,7,7,
2023-08-20,7,,7,7,
2023-08-25,7,,7,7,
2023-08-30,7,,7,7,
2023-09-04,7,B,NA,NA,
2023-09-09,7,,NA,NA,
2023-09-14,7,,NA,NA,
2023-09-19,7,,NA,NA,
2023-09-24,7,,NA,NA,
2023-09-29,7,,NA,NA,
2023-10-04,7,,NA,NA,
2023-10-09,7,,NA,NA,
2023-10-14,7,B,NA,NA,
2023-10-19,7,dep,NA,NA,
2023-10-24,7,,NA,NA,
2023-10-29,7,,NA,NA,
2023-11-03,7,,,,
2023-11-08,7,,NA,NA,
2023-11-13,7,,7,7,
2023-11-18,7,,7,7,
2023-11-23,7,,NA,NA,
2023-11-28,7,,7,7,
2023-12-03,7,,NA,NA,
2023-06-21,8,,NA,NA,
2023-06-26,8,,8,8,
2023-07-01,8,,8,8,
2023-07-06,8,,NA,NA,
2023-07-11,8,,8,8,
2023-07-16,8,,8,8,
2023-07-21,8,,8,8,
2023-07-26,8,,8,8,
2023-07-31,8,,8,8,
2023-08-05,8,,8,8,
2023-08-10,8,,8,8,
2023-08-15,8,,8,8,
2023-08-20,8,,8,8,
2023-08-25,8,,8,8,
2023-08-30,8,,8,8,
2023-09-04,8,,NA,NA,
2023-09-09,8,,NA,NA,
2023-09-14,8,,NA,NA,
2023-09-19,8,,NA,NA,
2023-09-24,8,,NA,NA,
2023-09-29,8,,NA,NA,
2023-10-04,8,,NA,NA,
2023-10-09,8,,8,8,
2023-10-14,8,B,NA,NA,
2023-10-19,8,dep,NA,NA,
2023-10-24,8,,NA,NA,
2023-10-29,8,,8,8,
2023-11-03,8,,8,8,
2023-11-08,8,B,NA,8,
2023-11-13,8,B,NA,8,
2023-11-18,8,,NA,NA,
2023-11-23,8,,NA,NA,
2023-11-28,8,,NA,NA,
2023-12-03,8,,NA,NA,
2023-06-21,9,,NA,NA,
2023-06-26,9,,NA,NA,
2023-07-01,9,,9,9,
2023-07-06,9,,NA,NA,
2023-07-11,9,,9,9,
2023-07-16,9,,NA,NA,
2023-07-21,9,B,NA,NA,
2023-07-26,9,B,NA,NA,
2023-07-31,9,,NA,NA,
2023-08-05,9,,9,9,
2023-08-10,9,,9,9,
2023-08-15,9,,9,9,
2023-08-20,9,,9,9,
2023-08-25,9,,NA,NA,
2023-08-30,9,,9,9,
2023-09-04,9,,NA,NA,
2023-09-09,9,,NA,NA,
2023-09-14,9,,NA,NA,
2023-09-19,9,,NA,NA,
2023-09-24,9,,NA,NA,
2023-09-29,9,,NA,NA,
2023-10-04,9,B,NA,NA,
2023-10-09,9,B,NA,NA,
2023-10-14,9,B,NA,NA,
2023-10-19,9,B,NA,NA,
2023-10-24,9,,NA,NA,
2023-10-29,9,ND,NA,NA,
2023-11-03,9,ND?,NA,NA,
2023-11-08,9,,NA,NA,
2023-11-13,9,,NA,NA,
2023-11-18,9,,NA,NA,
2023-11-23,9,,NA,NA,
2023-11-28,9,,NA,NA,
2023-12-03,9,,NA,NA,
2023-06-21,10,,NA,NA,
2023-06-26,10,,10,10,
2023-07-01,10,,10,10,
2023-07-06,10,,10,10,
2023-07-11,10,,10,10,
2023-07-16,10,,10,10,
2023-07-21,10,,10,10,
2023-07-26,10,,10,10,
2023-07-31,10,,NA,NA,
2023-08-05,10,B,NA,NA,
2023-08-10,10,,NA,NA,
2023-08-15,10,,NA,NA,
2023-08-20,10,,NA,NA,
2023-08-25,10,,NA,NA,
2023-08-30,10,,NA,NA,
2023-09-04,10,,NA,NA,
2023-09-09,10,,NA,NA,
2023-09-14,10,,NA,NA,
2023-09-19,10,,NA,NA,
2023-09-24,10,,NA,NA,
2023-09-29,10,,NA,NA,
2023-10-04,10,,NA,NA,
2023-10-09,10,,NA,NA,
2023-10-14,10,,NA,NA,
2023-10-19,10,dep,10,10,
2023-10-24,10,,10,10,
2023-10-29,10,,10,10,
2023-11-03,10,,10,10,
2023-11-08,10,L,10,10,
2023-11-13,10,,10,10,
2023-11-18,10,,10,10,
2023-11-23,10,,10,10,
2023-11-28,10,,10,10,
2023-12-03,10,,NA,NA,
2023-06-21,11,,NA,NA,
2023-06-26,11,,11,11,
2023-07-01,11,,NA,NA,
