Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699099209,10,1,1,1,0,0.190663,0,0,1,6,58,0,13,25,37,24,58,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699099510,10,1,1,1,0,0.187620,0,0,1,6,58,0,14,25,37,24,58,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699099811,10,1,1,1,0,0.190663,0,0,1,6,58,0,14,25,37,24,57,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699100112,10,1,1,1,0,0.187620,0,0,1,6,55,0,13,23,36,23,54,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699100413,10,1,1,1,0,0.191164,0,0,1,6,55,0,13,23,36,23,55,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699100714,10,1,1,1,0,0.190147,0,0,1,6,56,0,13,23,36,23,55,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699101015,10,1,1,1,0,0.189664,0,0,1,7,56,0,14,25,37,24,57,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699101316,10,1,1,1,0,0.191671,0,0,0,6,56,0,13,24,36,24,56,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699101617,10,1,1,1,0,0.187620,0,0,1,6,55,0,13,24,36,23,56,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699101918,10,1,1,1,0,0.189141,0,0,1,6,56,0,13,24,36,24,55,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699102219,10,1,1,1,0,0.186100,0,0,1,6,56,0,13,24,37,25,56,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1699102520,10,1,1,1,0,0.189638,0,0,0,7,56,0,13,25,37,25,57,0
