Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1701507885,7,1,1,0,0,76.159996,2587,4316,5644,5940,23556,8528,5413,4852,6172,7731,23567,8532
1701508186,7,1,1,0,0,88.990180,3244,5362,6999,7402,29819,11624,6821,6158,7694,9424,29825,11626
1701508487,7,1,1,0,0,105.290313,3790,6264,8172,8652,34378,13152,8033,7246,8919,10698,34371,13154
1701508788,7,1,1,0,0,129.113922,4666,7615,9926,10597,43443,18327,9979,9154,11241,13462,43454,18343
1701509089,7,1,1,0,0,178.845932,6313,10162,13364,14610,62010,30114,14249,13587,17083,21208,62054,30128
1701509390,7,1,1,0,0,214.454986,7437,11783,15404,16971,65535,39212,16704,16158,20226,24967,65535,39235
1701509691,7,1,1,0,0,232.586334,8041,12688,16562,18231,65535,39155,18005,17377,21513,26210,65535,39172
1701509992,7,1,1,0,0,217.900131,7875,12423,15961,17333,65535,36682,16925,15979,19423,22668,65535,36693
1701510293,7,1,1,0,0,202.418609,7576,12004,15264,16294,65535,31446,15675,14510,17124,19337,65535,31450
1701510594,7,1,1,0,0,209.131881,7862,12531,15831,16830,65535,31244,16130,14900,17346,19448,65535,31240
1701510895,7,1,1,0,0,205.349029,7977,12693,15946,16760,65535,28670,15981,14590,16727,18374,65535,28687
1701511196,7,1,1,0,0,254.229934,9457,15110,19302,20721,65535,34085,20300,19064,22395,25508,65535,34093
