Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1700060518,7,0,1,1,0,505.870483,15037,25525,31943,39180,65535,43418,46664,52846,64021,48971,65535,43468
1700060818,7,0,1,1,0,523.821350,15391,26103,32834,40288,65535,45346,47820,54096,65466,50735,65535,45525
1700061118,7,0,1,1,0,778.808898,22794,37043,47982,59761,65535,65535,65535,65535,65535,65535,65535,65535
1700061418,7,0,1,1,0,566.447021,16402,27627,35077,43276,65535,58006,51337,58306,65535,57448,65535,58072
1700061718,7,0,1,1,0,580.648437,16682,28305,36065,44730,65535,64151,53313,60483,65535,60849,65535,64177
1700062018,7,0,1,0,0,282.980743,12242,19428,23649,24898,65535,39311,24116,21985,23840,24608,65535,39304
1700062318,7,0,1,0,0,272.113342,11659,18711,22792,23832,65535,30844,22876,20476,22039,22260,65535,30853
1700062618,7,0,1,0,0,268.452575,11387,18297,22339,23339,65535,29815,22429,20045,21629,21867,65535,29841
1700062918,7,0,1,0,0,350.084381,12939,20728,25898,28248,65535,51510,28333,26973,30776,33575,65535,51519
1700063218,7,0,1,0,0,263.014282,10858,17440,21447,22449,65535,28181,21664,19393,21116,21539,65535,28166
1700063518,7,0,1,0,0,355.960723,13079,20833,26377,28908,65535,57060,29385,28494,32599,36268,65535,57610
1700063818,7,0,1,0,0,537.413269,17676,28364,36801,43047,65535,65535,45981,47093,57878,65535,65535,65535
