Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1691600486,3,1,0,0,0,66.315223,2363,2977,3332,4092,31750,35865,4196,4689,5060,5529,31767,35910
1691600786,3,1,0,0,0,92.914642,3470,4402,4961,6112,46268,52351,6282,7030,7627,8380,46233,52330
1691601086,3,1,0,0,0,122.432899,4393,5617,6383,7902,57904,64619,8196,9172,10035,11097,57886,64563
1691601386,3,1,0,0,0,108.263160,4096,5210,5880,7251,54356,61554,7487,8392,9082,10051,54402,61558
1691601686,3,1,0,0,0,176.727279,6498,8185,9211,11433,65535,65535,11854,13469,14503,16360,65535,65535
1691601986,3,1,0,0,0,122.678192,4568,5714,6368,7855,61654,65535,8051,9104,9751,10744,61685,65535
1691602286,3,1,0,0,0,120.642456,4530,5672,6336,7792,61319,65535,7937,8990,9641,10575,61251,65535
1691602586,3,1,0,0,0,131.929519,4903,6111,6805,8378,65535,65535,8547,9719,10379,11355,65535,65535
1691602886,3,1,0,0,0,136.794921,4951,6230,7001,8646,65535,65535,8916,10083,10846,12069,65535,65535
1691603186,3,1,0,0,0,118.451614,4325,5424,6070,7465,58095,65535,7609,8612,9254,10134,58057,65535
1691603486,3,1,0,0,0,133.800857,4960,6249,7019,8646,65504,65535,8857,10012,10762,11861,65477,65535
1691603786,3,1,0,0,0,111.259826,4183,5322,6028,7418,54835,62642,7614,8551,9266,10140,54761,62572
