Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1698183202,5,0,1,0,0,-1.000000,12708,17725,18791,29884,65535,65535,30845,34611,39947,47438,65535,65535
1698183502,5,0,1,0,0,377.068542,13970,19529,20653,32882,65535,65535,33611,37682,43354,51866,65535,65535
1698183802,5,0,1,0,0,343.341247,12145,17052,17992,28491,65535,65535,28907,32184,37024,44115,65535,65535
1698184102,5,0,1,0,0,281.237243,9965,13983,14710,23386,65535,65535,24370,27103,31134,37197,65535,65535
1698184403,5,0,1,0,0,402.074645,13764,19364,20352,32528,65535,65535,33506,37361,43151,51567,65535,65535
1698184703,5,0,1,0,0,221.366165,7625,10702,11266,17910,65535,53124,18386,20344,23469,28058,65535,53117
