Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1689771834,5,0,1,0,0,131.905990,3997,5628,6128,8866,50558,29251,7960,8399,9163,10862,50564,29251
1689772134,5,0,1,0,0,147.213821,4579,6429,6968,10036,57338,33908,9015,9509,10260,11984,57344,33905
1689772434,5,0,1,0,0,164.538223,5206,7282,7842,11248,64830,39684,10091,10677,11398,13151,64839,39716
1689772734,5,0,1,0,0,179.318878,5904,8213,8777,12527,65535,47195,11224,11923,12595,14385,65535,47224
1689773034,5,0,1,0,0,198.744003,6882,9458,9966,14142,65535,60654,12604,13550,14154,16022,65535,60680
1689773334,5,0,1,0,0,237.664398,8824,11822,12071,16978,65535,65535,14940,16588,16961,19249,65535,65535
1689773634,5,0,1,0,0,352.707275,14626,18703,17935,25348,65535,65535,22404,26278,25980,31621,65535,65535
1689773934,5,0,1,0,0,519.104431,21104,26293,24805,35370,65535,65535,32047,38844,38987,48748,65535,65535
1689774234,5,0,1,0,0,582.301330,23286,29030,27664,39571,65535,65535,36300,44076,44761,55984,65535,65535
1689774534,5,0,1,0,0,600.102233,24398,30343,28638,40805,65535,65535,36991,44955,44619,55627,65535,65535
1689774834,5,0,1,0,0,639.596435,26084,32522,30634,43790,65535,65535,39938,48542,48224,60328,65535,65535
1689775134,5,0,1,0,0,734.202087,28312,35249,33308,48295,65535,65535,44399,54342,54471,65535,65535,65535
