Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1690239786,5,1,1,0,0,229.840011,7272,10562,11334,17840,65535,36576,18417,20290,23260,26774,65535,36908
1690240086,5,1,1,0,0,295.885009,9369,13571,14534,22764,65535,53523,23209,25834,29528,34443,65535,53677
1690240386,5,1,1,0,0,285.492065,8825,12688,13544,21199,65535,54497,21592,24116,27454,32223,65535,54560
1690240686,5,1,1,0,0,249.695999,7753,11113,11713,18502,65535,50019,18901,21007,23902,28107,65535,50044
1690240986,5,1,1,0,0,296.761138,9449,13489,14228,22298,65535,65535,22700,25419,28845,33978,65535,65535
1690241286,5,1,1,0,0,459.954467,14935,21339,22318,35132,65535,65535,35782,40397,45804,54341,65535,65535
1690241586,5,1,1,0,0,573.467712,17900,25535,26860,42187,65535,65535,42902,48670,55251,65535,65535,65535
1690241886,5,1,1,0,0,475.497650,14764,21065,22094,34791,65535,65535,35186,39775,45210,53707,65535,65535
1690242186,5,1,1,0,0,357.473266,11585,16539,17726,27438,65535,65535,27481,31125,35418,41829,65535,65535
1690242486,5,1,1,0,0,344.222259,10743,15389,16182,25547,65535,65535,25959,29156,33238,39402,65535,65535
1690242786,5,1,1,0,0,353.012359,10807,15470,16306,25733,65535,65535,26262,29491,33653,39925,65535,65535
1690243086,5,1,1,0,0,242.352005,7442,10652,11324,17746,65535,48002,18054,20178,23017,27121,65535,47972
