Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1701446643,5,1,1,0,0,30.009521,1248,1786,2100,2622,11930,6498,2157,2303,2851,3916,11937,6498
1701446944,5,1,1,0,0,-1.000000,1532,2186,2580,3292,15113,8828,2780,3010,3701,5074,15123,8828
1701447245,5,1,1,0,0,49.454544,1743,2471,2915,3769,17852,10520,3242,3550,4366,5915,17792,10500
1701447546,5,1,1,0,0,58.332969,2015,2842,3387,4411,20096,11870,3861,4237,5175,6940,20170,11891
1701447847,5,1,1,0,0,51.408000,1838,2605,3077,4043,19327,11650,3570,3947,4756,6340,19321,11651
1701448148,5,1,1,0,0,78.417594,2572,3635,4329,5712,26676,15710,5103,5667,6864,9059,26653,15700
1701448449,5,1,1,0,0,78.828681,2667,3767,4447,5943,29152,17405,5365,6021,7238,9527,29188,17412
1701448750,5,1,1,0,0,96.963752,3165,4450,5308,7123,34238,20719,6510,7335,8809,11513,34283,20744
1701449051,5,1,1,0,0,117.048309,3696,5219,6204,8461,40222,24826,7796,8793,10574,13704,40283,24845
1701449352,5,1,1,0,0,172.344818,5800,8145,9861,13401,61380,36825,12388,14085,16981,21928,61383,36847
1701449653,5,1,1,0,0,175.788726,5823,8147,9841,13389,64745,39153,12294,14252,16992,21912,64627,39140
1701449954,5,1,1,0,0,217.900131,6916,9615,11717,15935,65535,45635,14796,17109,20322,26220,65535,45629
