Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
947689223,2,1,1,0,0,361.927368,19427,26789,30172,32282,65535,65535,31080,31130,30236,32050,65535,65535
947689523,2,1,1,0,0,377.284698,20117,27649,31128,33383,65535,65535,32135,32276,31246,33191,65535,65535
947689823,2,1,1,0,0,406.721466,21520,29670,33481,35964,65535,65535,35082,35269,34398,36750,65535,65535
947690123,2,1,1,0,0,414.296447,21652,29682,33404,36172,65535,65535,35174,35619,34685,37281,65535,65535
947690423,2,1,1,0,0,423.759674,22323,30480,34181,36967,65535,65535,35829,36230,34905,37435,65535,65535
