Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1690171336,2,1,0,0,0,14.571430,538,901,1107,1096,6137,2362,927,814,1011,1341,6131,2362
1690171636,2,1,0,1,0,189.366394,1769,1764,2471,3857,64118,5896,23675,41479,35450,13795,64158,5900
1690171936,2,1,0,1,0,199.758941,1669,1552,2223,3660,64650,5390,23977,42473,36622,14189,64632,5394
1690172236,2,1,0,1,0,195.839996,1579,1383,2017,3476,64193,5006,23983,42717,36940,14201,64202,5010
1690172536,2,1,0,1,0,195.839996,1531,1294,1913,3382,63987,4764,23984,42867,37129,14233,63998,4770
1690172836,2,1,0,1,0,195.839996,1503,1243,1852,3330,63888,4606,23998,42983,37280,14257,63894,4610
1690173136,2,1,0,1,0,195.839996,1491,1216,1821,3305,63847,4532,23992,43037,37360,14282,63833,4532
1690173436,2,1,0,1,0,195.839996,1485,1204,1807,3295,63853,4496,24001,43076,37407,14315,63877,4504
1690173736,2,1,0,1,0,195.839996,1482,1198,1801,3291,63861,4482,24014,43112,37458,14326,63879,4484
1690174036,2,1,0,1,0,195.839996,1479,1195,1797,3290,63871,4482,24026,43124,37472,14333,63893,4482
1690174336,2,1,0,1,0,195.839996,1480,1195,1796,3288,63882,4478,24026,43130,37488,14336,63908,4480
1690174636,2,1,0,1,0,195.839996,1478,1192,1795,3283,63849,4470,23998,43101,37457,14336,63864,4476
