Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1689645833,2,1,1,0,0,169.540130,8791,12742,14433,14944,65535,65535,13991,13193,12902,13498,65535,65535
1689646133,2,1,1,0,0,165.958312,8773,12674,14363,14905,65535,65535,13924,13206,12915,13552,65535,65535
1689646433,2,1,1,0,0,161.455886,8329,12143,13835,14321,65535,63017,13375,12567,12349,12905,65535,63013
1689646733,2,1,1,0,0,159.220336,7927,11687,13411,13866,65535,54691,13008,12119,12003,12566,65535,54688
1689647033,2,1,1,0,0,154.543304,7743,11560,13413,13932,65535,49691,13149,12233,12380,13018,65535,49675
1689647333,2,1,1,0,0,140.618621,7045,10575,12248,12581,65535,40480,11740,10737,10675,11070,65535,40447
1689647633,2,1,1,0,0,136.115737,6663,10074,11727,12054,65535,35669,11265,10250,10254,10652,65535,35694
1689647933,2,1,1,0,0,133.264190,6278,9568,11211,11514,65535,30731,10776,9725,9784,10152,65535,30675
1689648233,2,1,1,0,0,124.001014,5921,9106,10731,11021,61968,26394,10311,9250,9346,9707,61956,26386
1689648533,2,1,1,0,0,119.906669,5538,8586,10170,10432,57133,22465,9759,8700,8826,9174,57145,22453
1689648833,2,1,1,0,0,116.160003,5221,8153,9696,9954,53811,20149,9300,8267,8424,8778,53778,20148
1689649133,2,1,1,0,0,112.455001,4919,7718,9237,9504,50840,18197,8888,7884,8080,8468,50831,18199
