Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1701543900,6,0,1,0,0,590.358215,36545,52399,56862,63157,65535,65535,59053,54940,55799,58045,65535,65535
1701544201,6,0,1,0,0,594.061584,36747,52658,57134,63393,65535,65535,59288,55131,55943,58193,65535,65535
1701544502,6,0,1,0,0,599.490661,37084,53104,57620,63983,65535,65535,59844,55714,56482,58818,65535,65535
1701544803,6,0,1,0,0,597.518676,37241,53333,57872,64268,65535,65535,60123,56030,56783,59143,65535,65535
1701545104,6,0,1,0,0,597.518676,37298,53350,57894,64241,65535,65535,60070,55992,56748,59016,65535,65535
1701545405,6,0,1,0,0,597.518676,37317,53371,57864,64261,65535,65535,60091,55995,56684,58967,65535,65535
1701545706,6,0,1,0,0,599.490661,37260,53276,57760,64086,65535,65535,59892,55790,56451,58644,65535,65535
1701546007,6,0,1,0,0,595.788085,37216,53204,57682,63953,65535,65535,59772,55648,56228,58431,65535,65535
1701546308,6,0,1,0,0,599.760009,37126,53089,57600,63819,65535,65535,59538,55380,55887,58029,65535,65535
1701546609,6,0,1,0,0,596.048400,37063,52990,57481,63661,65535,65535,59364,55245,55678,57791,65535,65535
1701546910,6,0,1,0,0,596.048400,36997,52871,57363,63506,65535,65535,59235,55102,55512,57623,65535,65535
