Timestamp,Device,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1687372846,6,1,0,0,0,9.480115,653,696,799,1073,6111,4308,1638,2306,2847,2347,6114,4308
1687372852,6,1,0,0,0,9.463342,655,699,800,1075,6129,4318,1638,2310,2853,2357,6128,4324
1687372921,6,1,0,0,0,9.441524,663,706,811,1089,6213,4368,1658,2332,2888,2400,6212,4370
1687372927,6,1,0,0,0,9.471723,661,705,808,1087,6189,4344,1652,2325,2878,2395,6188,4346
1687372933,6,1,0,0,0,9.575599,655,699,802,1078,6144,4276,1643,2318,2871,2365,6094,4216
1687372939,6,1,0,0,0,9.443208,652,694,798,1073,6115,4270,1644,2317,2865,2360,6117,4270
1687372945,6,1,0,0,0,9.438303,649,691,794,1068,6085,4238,1637,2311,2857,2350,6088,4242
1687372951,6,1,0,0,0,9.426055,645,688,790,1063,6057,4220,1632,2303,2846,2332,6054,4218
1687372957,6,1,0,0,0,9.358207,641,683,783,1054,6014,4194,1620,2286,2825,2311,6013,4194
1687372963,6,1,0,0,0,9.313765,637,679,779,1047,5981,4162,1613,2277,2817,2295,5977,4158
1687372969,6,1,0,0,0,9.221849,631,673,772,1038,5931,4124,1602,2264,2799,2275,5933,4126
