Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1688688018,6,1,1,0,0,3089.325439,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688688318,6,1,1,0,0,3209.815673,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688688618,6,1,1,0,0,3334.448730,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688688918,6,1,1,0,0,3281.852050,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688689218,6,1,1,0,0,3245.513427,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688689518,6,1,1,0,0,3232.448974,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688689818,6,1,1,0,0,3096.656982,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688690118,6,1,1,0,0,2924.553222,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688690418,6,1,1,0,0,2730.477539,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688690718,6,1,1,0,0,2829.522949,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688691018,6,1,1,0,0,2448.000000,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688691318,6,1,1,0,0,2144.199951,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
