"Source:","/home/dchevalier/Documents/alan-setup/fab/kicad/controller_pcb/controller_pcb.kicad_sch"
"Date:","Sat 17 Feb 2024 03:52:16 PM"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Datasheet_1","Description","Digi-Key_PN","Family","Footprint_1","Height","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Status","Value_1"
"1","1","A1","Arduino_Mega2560_R3_Shield","arduino-library:Arduino_Mega2560_R3_Shield","PCM_arduino-library:Arduino_Mega2560_R3_Shield","https://docs.arduino.cc/hardware/mega-2560","","","","","","","","","","","","","","","","","","","",""
"2","3","CBAT1, CCC1, CCOMP1","GRM155R70J104KA01D","GRM155R70J104KA01D:GRM155R70J104KA01D","","","GRM155R70J104KA01D","https://www.arrow.com/en/products/grm155r70j104ka01d/murata-manufacturing?region=nac","","","","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","","","CAPC1005X55N","0.55","","","Murata Electronics","GRM155R70J104KA01D","81-GRM155R70J104KA1D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R70J104KA01D?qs=y02iAgv9n61EgJSmMyZ7gQ%3D%3D","C","","GRM155R70J104KA01D"
"3","4","CBOOT1, CBOOT1-2, CBOOT2, CBOOT2-2","EMK107B7104KA-T","EMK107B7104KA-T:EMK107B7104KA-T","","","EMK107B7104KA-T","https://www.arrow.com/en/products/emk107b7104ka-t/taiyo-yuden","","","","http://www.farnell.com/datasheets/746258.pdf","","","","CAPC1608X95N","0.95","","","TAIYO YUDEN","EMK107B7104KA-T","963-EMK107B7104KA-T","https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/EMK107B7104KA-T?qs=I6KAKw0tg2ybqzX8hKPgfw%3D%3D","C","","EMK107B7104KA-T"
"4","1","CCOMP-2","GRM155R70J473KA01D","GRM155R70J473KA01D:GRM155R70J473KA01D","","","GRM155R70J473KA01D","https://www.arrow.com/en/products/grm155r70j473ka01d/murata-manufacturing?region=nac","","","","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","","","CAPC1005X55N","0.55","","","Murata Electronics","GRM155R70J473KA01D","81-GRM155R70J473KA1D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R70J473KA01D?qs=y02iAgv9n63DJ80zfdDo8g%3D%3D","C","","GRM155R70J473KA01D"
"5","3","CEN1, CVCC1, CVCC-2","C1608X6S1C475K080AC","C1608X6S1C475K080AC:C1608X6S1C475K080AC","","","C1608X6S1C475K080AC","https://www.arrow.com/en/products/c1608x6s1c475k080ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1608X80N","0.8","","","TDK","C1608X6S1C475K080AC","810-C1608X6S1C475K","https://www.mouser.co.uk/ProductDetail/TDK/C1608X6S1C475K080AC?qs=dfay7wIA1uELNO4%252B8xvBDw%3D%3D","C","","C1608X6S1C475K080AC"
"6","1","CIN1","EEE-FK1V101P","EEE-FK1V101P:EEE-FK1V101P","","","EEE-FK1V101P","https://www.arrow.com/en/products/eeefk1v101p/panasonic?region=nac","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf","","","","EEHZT1E331UP","10.8","","","Panasonic","EEE-FK1V101P","667-EEE-FK1V101P","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-FK1V101P?qs=qE6bgDGEOCsMXxs4z7sT2w%3D%3D","C","","EEE-FK1V101P"
"7","1","CIN-2","25SVPF47M","25SVPF47M:25SVPF47M","","","25SVPF47M","https://www.arrow.com/en/products/25svpf47m/panasonic?region=nac","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C177.pdf","","","","16SVF180M","6","","","Panasonic","25SVPF47M","667-25SVPF47M","https://www.mouser.co.uk/ProductDetail/Panasonic/25SVPF47M?qs=OE1iw1LrrPH6vnYaLYl%2FJw%3D%3D","C","","25SVPF47M"
"8","2","CINX1, CINX-2","C3225X7R1H106M250AC","C3225X7R1H106M250AC:C3225X7R1H106M250AC","","","C3225X7R1H106M250AC","https://www.arrow.com/en/products/c3225x7r1h106m250ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC3225X230N","2.3","","","TDK","C3225X7R1H106M250AC","810-C3225X7R1H106MAC","https://www.mouser.co.uk/ProductDetail/TDK/C3225X7R1H106M250AC?qs=6JAMGB%252BEdkwY95l8JqNSnw%3D%3D","C","","C3225X7R1H106M250AC"
"9","3","CINX2, CINX2-2, COUTX2","C1005X5R1V105K050BC","C1005X5R1V105K050BC:C1005X5R1V105K050BC","","","C1005X5R1V105K050BC","https://www.arrow.com/en/products/c1005x5r1v105k050bc/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1005X55N","0.55","","","TDK","C1005X5R1V105K050BC","810-C1005X5R1V105K","https://www.mouser.co.uk/ProductDetail/TDK/C1005X5R1V105K050BC?qs=dfay7wIA1uGr1NSDQs%2Ftnw%3D%3D","C","","C1005X5R1V105K050BC"
"10","1","COUT1","25SVPF27MX","25SVPF27MX:25SVPF27MX","","","25SVPF27MX","https://www.arrow.com/en/products/25svpf27mx/panasonic?region=nac","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C177.pdf","","","","16SVF82M","6","","","Panasonic","25SVPF27MX","667-25SVPF27MX","https://www.mouser.co.uk/ProductDetail/Panasonic/25SVPF27MX?qs=OE1iw1LrrPHs7V8AgrsYgQ%3D%3D","C","","25SVPF27MX"
"11","1","COUT-2","10SVPC68MV","10SVPC68MV:10SVPC68MV","","","10SVPC68MV","https://www.arrow.com/en/products/10svpc68mv/panasonic","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C256.pdf","","","","16SVF82M","6","","","Panasonic","10SVPC68MV","667-10SVPC68MV","https://www.mouser.com/Search/Refine.aspx?Keyword=667-10SVPC68MV","C","","10SVPC68MV"
"12","1","COUTX1","C2012X5R1V156M125AC","C2012X5R1V156M125AC:C2012X5R1V156M125AC","","","C2012X5R1V156M125AC","https://www.arrow.com/en/products/c2012x5r1v156m125ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC2012X145N","1.45","","","TDK","C2012X5R1V156M125AC","810-C2012X5R1V156M1C","https://www.mouser.co.uk/ProductDetail/TDK/C2012X5R1V156M125AC?qs=xLDY6iXSiQZGpZ5eDP6b8w%3D%3D","C","","C2012X5R1V156M125AC"
"13","1","COUTX2-2","C0603C105Z8VACTU","C0603C105Z8VACTU:C0603C105Z8VACTU","","","C0603C105Z8VACTU","https://www.arrow.com/en/products/c0603c105z8vactu/kemet-corporation?region=nac","","","","https://content.kemet.com/datasheets/KEM_C1005_Y5V_SMD.pdf","","","","C0603","0.87","","","KEMET","C0603C105Z8VACTU","80-C0603C105Z8V","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C105Z8VACTU?qs=F2dscFSegBYhJ9ezd9GTzA%3D%3D","C","","C0603C105Z8VACTU"
"14","1","COUTX-2","C0805C106K8PACTU","C0805C106K8PACTU:C0805C106K8PACTU","","","C0805C106K8PACTU","https://www.arrow.com/en/products/c0805c106k8pactu/kemet-corporation?region=nac","","","","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","","","","C0805","1.1","","","KEMET","C0805C106K8PACTU","80-C0805C106K8P","https://www.mouser.co.uk/ProductDetail/KEMET/C0805C106K8PACTU?qs=Zpyg6gQUYs39C21BeavaKA%3D%3D","C","","C0805C106K8PACTU"
"15","3","J5V1, JGND1, JSD1","Screw_Terminal_01x06","Connector:Screw_Terminal_01x06","","~","","","","","","","","","","","","","","","","","","","",""
"16","1","JA5-11","Screw_Terminal_01x07","Connector:Screw_Terminal_01x07","","~","","","","","","","","","","","","","","","","","","","",""
"17","1","JA23","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~","","","","","","","","","","","","","","","","","","","",""
"18","1","JARRAY1","1935161","dk_Terminal-Blocks-Wire-to-Board:1935161","digikey-footprints:Terminal_Block_D1.3mm_P5mm","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","","","Connectors, Interconnects","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","/product-detail/en/phoenix-contact/1935161/277-1667-ND/568614","","TERM BLK 2POS SIDE ENTRY 5MM PCB","277-1667-ND","Terminal Blocks - Wire to Board","","","1935161","Phoenix Contact","","","","","","Active",""
"19","1","JPERIPH1","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","","","","",""
"20","2","JSCL1, JSDA1","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","","~","","","","","","","","","","","","","","","","","","","",""
"21","1","L1","MSS1210-103MEB","MSS1210-103MEB:MSS1210-103MEB","","","","","","","","https://g.componentsearchengine.com/Datasheets/34/MSS1210-103MEB.pdf","","","","INDPM120120X1020N","10.2","","","COILCRAFT","MSS1210-103MEB","994-MSS1210-103MEB","https://www.mouser.co.uk/ProductDetail/Coilcraft/MSS1210-103MEB?qs=VJjuEbE9QBNwjoERzwkOMg%3D%3D","L","","MSS1210-103MEB"
"22","1","L1-2","SDR0403-4R7ML","SDR0403-4R7ML:SDR0403-4R7ML","","","SDR0403-4R7ML","https://www.arrow.com/en/products/sdr0403-4r7ml/bourns?region=nac","","","","http://www.bourns.com/docs/Product-Datasheets/sdr0403.pdf","","","","SDR0403","","","","Bourns","SDR0403-4R7ML","652-SDR0403-4R7ML","https://www.mouser.co.uk/ProductDetail/Bourns/SDR0403-4R7ML?qs=xrpI9KL%2FXvtm2g7dmggyxA%3D%3D","L","","SDR0403-4R7ML"
"23","1","Q1","IRLZ44N","IRLZ44N:IRLZ44N","","","","","","","","https://www.mouser.com/catalog/specsheets/international rectifier_irlz44n.pdf","","","","TO254P469X1042X1967-3P","4.69","","","Infineon","IRLZ44N","N/A","https://www.mouser.co.uk/ProductDetail/Infineon-IR/IRLZ44N?qs=zO0nedAqnNIAphT7g5cSVQ%3D%3D","Q","","IRLZ44N"
"24","1","RA41","ERJ-2RKF2400X","ERJ-2RKF2400X:ERJ-2RKF2400X","","","ERJ-2RKF2400X","https://www.arrow.com/en/products/erj-2rkf2400x/panasonic?region=nac","","","","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C86.pdf","","","","ERJ2RKD1004X","0.4","","","Panasonic","ERJ-2RKF2400X","667-ERJ-2RKF2400X","https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-2RKF2400X?qs=YMBIwoNQYdU72k3QMprnfQ%3D%3D","R","","ERJ-2RKF2400X"
"25","1","RA42","CRCW040210K0FKED","CRCW040210K0FKED:CRCW040210K0FKED","","","CRCW040210K0FKED","https://www.arrow.com/en/products/crcw040210k0fked/vishay?region=nac","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW040210K0FKED","71-CRCW0402-10K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040210K0FKED?qs=rlE3Te1NifyN3e8vvxacSw%3D%3D","R","","CRCW040210K0FKED"
"26","1","RCOMP1","CRCW0402301RFKED","CRCW0402301RFKED:CRCW0402301RFKED","","","","","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW0402301RFKED","71-CRCW0402-301-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0402301RFKED?qs=TNtMkGKFKOyEoDLmqluwsQ%3D%3D","R","","CRCW0402301RFKED"
"27","1","RCOMP-2","CRCW040213K0FKED","CRCW040213K0FKED:CRCW040213K0FKED","","","CRCW040213K0FKED","https://www.arrow.com/en/products/crcw040213k0fked/vishay?region=nac","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW040213K0FKED","71-CRCW0402-13K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040213K0FKED?qs=8wskyPz2qw0HXggAygo%252BmA%3D%3D","R","","CRCW040213K0FKED"
"28","2","RENB1, RENB-2","CRCW0402100KFKED","CRCW0402100KFKED:CRCW0402100KFKED","","","CRCW0402100KFKED","https://www.arrow.com/en/products/crcw0402100kfked/vishay?region=nac","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW0402100KFKED","71-CRCW0402-100K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0402100KFKED?qs=OlqPY1CiralZGKRwQ4Glcg%3D%3D","R","","CRCW0402100KFKED"
"29","2","RENT1, RENT-2","CRCW0402301KFKED","CRCW0402301KFKED:CRCW0402301KFKED","","","CRCW0402301KFKED","https://www.arrow.com/en/products/crcw0402301kfked/vishay","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW0402301KFKED","71-CRCW0402-301K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0402301KFKED/?qs=TNtMkGKFKOwT423%2FwrBwyQ%3D%3D","R","","CRCW0402301KFKED"
"30","2","RPU1, RPU2","CRCW12104K70JNEA","CRCW12104K70JNEA:CRCW12104K70JNEA","","","CRCW12104K70JNEA","https://www.arrow.com/en/products/crcw12104k70jnea/vishay","","","","","","","","RESC3225X60N","0.6","","","Vishay","CRCW12104K70JNEA","71-CRCW1210J-4.7K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW12104K70JNEA?qs=%2FqQFlUriJiy4FdqFuj0GnQ%3D%3D","R","","CRCW12104K70JNEA"
"31","2","RT1, RT-2","CRCW040248K7FKED","CRCW040248K7FKED:CRCW040248K7FKED","","","CRCW040248K7FKED","https://www.arrow.com/en/products/crcw040248k7fked/vishay","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW040248K7FKED","71-CRCW0402-48.7K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040248K7FKED?qs=hAuyw6LW%252BLjLERyYwOFdTQ%3D%3D","R","","CRCW040248K7FKED"
"32","2","U1, U2","TPS55289RYQR","TPS55289RYQR:TPS55289RYQR","","","TPS55289RYQR","https://www.arrow.com/en/products/tps55289ryqr/texas-instruments?region=nac","","","","https://www.ti.com/lit/ds/symlink/tps55289.pdf?ts=1664818706180&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS55289%252Fpart-details%252FTPS55289RYQR%253FkeyMatch%253DTPS55289RYQR","","","","TPS55289RYQR","1","","","Texas Instruments","TPS55289RYQR","595-TPS55289RYQR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS55289RYQR?qs=T%252BzbugeAwjhgaIN94Lbpjg%3D%3D","15VREG","","TPS55289RYQR"
"33","1","U3","DS3231SN","DS3231SN:DS3231SN#","","","DS3231SN#","https://www.arrow.com/en/products/ds3231sn/analog-devices?region=nac","","","","https://datasheets.maximintegrated.com/en/ds/DS3231.pdf","","","","SOIC127P1032X265-16N","2.65","","","Analog Devices","DS3231SN#","700-DS3231SN#","https://www.mouser.co.uk/ProductDetail/Analog-Devices-Maxim-Integrated/DS3231SN?qs=1eQvB6Dk1vhUlr8%2FOrV0Fw%3D%3D","IC","","DS3231SN"
"34","1","UBAT1","BK-912-TR","BK-912-TR:BK-912-TR","","","","","","","","https://www.memoryprotectiondevices.com/datasheets/BK-912-datasheet.pdf","","","","BK912TR","4.32","","","Memory Protection Devices","BK-912-TR","","","U","","BK-912-TR"
