"Source:","/home/dchevalier/Documents/alan-setup/fab/kicad/controller_pcb/controller_pcb.kicad_sch"
"Date:","Sat 17 Feb 2024 03:52:16 PM"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Datasheet_1","Description","Digi-Key_PN","Family","Footprint_1","Height","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Status","Value_1"
"","","CEN1","C1608X6S1C475K080AC","C1608X6S1C475K080AC:C1608X6S1C475K080AC","","","C1608X6S1C475K080AC","https://www.arrow.com/en/products/c1608x6s1c475k080ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1608X80N","0.8","","","TDK","C1608X6S1C475K080AC","810-C1608X6S1C475K","https://www.mouser.co.uk/ProductDetail/TDK/C1608X6S1C475K080AC?qs=dfay7wIA1uELNO4%252B8xvBDw%3D%3D","C","","C1608X6S1C475K080AC"
"","","CIN1","EEE-FK1V101P","EEE-FK1V101P:EEE-FK1V101P","","","EEE-FK1V101P","https://www.arrow.com/en/products/eeefk1v101p/panasonic?region=nac","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf","","","","EEHZT1E331UP","10.8","","","Panasonic","EEE-FK1V101P","667-EEE-FK1V101P","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-FK1V101P?qs=qE6bgDGEOCsMXxs4z7sT2w%3D%3D","C","","EEE-FK1V101P"
"","","CIN-2","25SVPF47M","25SVPF47M:25SVPF47M","","","25SVPF47M","https://www.arrow.com/en/products/25svpf47m/panasonic?region=nac","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C177.pdf","","","","16SVF180M","6","","","Panasonic","25SVPF47M","667-25SVPF47M","https://www.mouser.co.uk/ProductDetail/Panasonic/25SVPF47M?qs=OE1iw1LrrPH6vnYaLYl%2FJw%3D%3D","C","","25SVPF47M"
"","","CINX1","C3225X7R1H106M250AC","C3225X7R1H106M250AC:C3225X7R1H106M250AC","","","C3225X7R1H106M250AC","https://www.arrow.com/en/products/c3225x7r1h106m250ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC3225X230N","2.3","","","TDK","C3225X7R1H106M250AC","810-C3225X7R1H106MAC","https://www.mouser.co.uk/ProductDetail/TDK/C3225X7R1H106M250AC?qs=6JAMGB%252BEdkwY95l8JqNSnw%3D%3D","C","","C3225X7R1H106M250AC"
"","","CINX2","C1005X5R1V105K050BC","C1005X5R1V105K050BC:C1005X5R1V105K050BC","","","C1005X5R1V105K050BC","https://www.arrow.com/en/products/c1005x5r1v105k050bc/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1005X55N","0.55","","","TDK","C1005X5R1V105K050BC","810-C1005X5R1V105K","https://www.mouser.co.uk/ProductDetail/TDK/C1005X5R1V105K050BC?qs=dfay7wIA1uGr1NSDQs%2Ftnw%3D%3D","C","","C1005X5R1V105K050BC"
"","","CINX2-2","C1005X5R1V105K050BC","C1005X5R1V105K050BC:C1005X5R1V105K050BC","","","C1005X5R1V105K050BC","https://www.arrow.com/en/products/c1005x5r1v105k050bc/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1005X55N","0.55","","","TDK","C1005X5R1V105K050BC","810-C1005X5R1V105K","https://www.mouser.co.uk/ProductDetail/TDK/C1005X5R1V105K050BC?qs=dfay7wIA1uGr1NSDQs%2Ftnw%3D%3D","C","","C1005X5R1V105K050BC"
"","","CINX-2","C3225X7R1H106M250AC","C3225X7R1H106M250AC:C3225X7R1H106M250AC","","","C3225X7R1H106M250AC","https://www.arrow.com/en/products/c3225x7r1h106m250ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC3225X230N","2.3","","","TDK","C3225X7R1H106M250AC","810-C3225X7R1H106MAC","https://www.mouser.co.uk/ProductDetail/TDK/C3225X7R1H106M250AC?qs=6JAMGB%252BEdkwY95l8JqNSnw%3D%3D","C","","C3225X7R1H106M250AC"
"","","COUT1","25SVPF27MX","25SVPF27MX:25SVPF27MX","","","25SVPF27MX","https://www.arrow.com/en/products/25svpf27mx/panasonic?region=nac","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C177.pdf","","","","16SVF82M","6","","","Panasonic","25SVPF27MX","667-25SVPF27MX","https://www.mouser.co.uk/ProductDetail/Panasonic/25SVPF27MX?qs=OE1iw1LrrPHs7V8AgrsYgQ%3D%3D","C","","25SVPF27MX"
"","","COUT-2","10SVPC68MV","10SVPC68MV:10SVPC68MV","","","10SVPC68MV","https://www.arrow.com/en/products/10svpc68mv/panasonic","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C256.pdf","","","","16SVF82M","6","","","Panasonic","10SVPC68MV","667-10SVPC68MV","https://www.mouser.com/Search/Refine.aspx?Keyword=667-10SVPC68MV","C","","10SVPC68MV"
"","","COUTX1","C2012X5R1V156M125AC","C2012X5R1V156M125AC:C2012X5R1V156M125AC","","","C2012X5R1V156M125AC","https://www.arrow.com/en/products/c2012x5r1v156m125ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC2012X145N","1.45","","","TDK","C2012X5R1V156M125AC","810-C2012X5R1V156M1C","https://www.mouser.co.uk/ProductDetail/TDK/C2012X5R1V156M125AC?qs=xLDY6iXSiQZGpZ5eDP6b8w%3D%3D","C","","C2012X5R1V156M125AC"
