Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1688511801,9,0,1,0,0,4855.387695,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688512101,9,0,1,0,0,4957.145507,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688512401,9,0,1,0,0,5081.071289,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688512701,9,0,1,0,0,5081.132812,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688513001,9,0,1,0,0,4512.643554,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688513301,9,0,1,0,0,4413.523437,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688513601,9,0,1,0,0,4178.160156,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688513901,9,0,1,0,0,3922.176269,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688514201,9,0,1,0,0,3893.005371,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688514501,9,0,1,0,0,3826.913330,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688514801,9,0,1,0,0,3508.837158,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1688515101,9,0,1,0,0,3358.565917,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
