Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693278204,12,1,1,0,0,23.738182,583,843,1162,1190,7292,2774,1103,935,1094,1378,7295,2774
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693278504,12,1,1,1,0,16.319999,467,677,932,952,6041,2470,877,753,899,1197,6048,2470
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693278804,12,1,1,1,0,10.880000,279,398,541,559,3795,1798,514,453,556,782,3790,1796
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693279104,12,1,1,1,0,5.440000,154,215,288,299,2264,1264,276,252,321,483,2262,1264
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693279404,12,1,1,1,0,4.080000,71,99,129,131,1061,668,118,108,140,222,1061,668
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693279704,12,1,1,1,0,nan,28,40,51,51,419,270,44,40,52,85,419,270
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693280004,12,1,1,1,0,nan,9,14,17,18,139,74,14,12,17,29,140,74
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693280304,12,1,1,1,0,4.080000,1,3,5,4,47,20,3,3,4,8,47,20
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693280604,12,1,1,1,0,4.080000,0,0,0,0,21,6,0,0,1,1,21,6
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693280904,12,1,1,1,0,nan,0,0,0,0,9,2,0,0,0,0,9,2
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693281204,12,1,1,1,0,nan,0,0,0,0,4,0,0,0,0,0,4,0
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693281504,12,1,1,1,0,nan,0,0,0,0,2,0,0,0,0,0,2,0
