Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1691128945,12,1,0,1,0,65.279998,1381,1083,1675,2911,53542,3908,21435,43089,35972,12281,53510,3912
1691129245,12,1,0,1,0,65.279998,1378,1081,1671,2904,53381,3902,21414,43016,35866,12222,53373,3904
1691129545,12,1,0,1,0,65.279998,1374,1078,1667,2897,53242,3890,21373,42907,35754,12162,53231,3894
1691129845,12,1,0,1,0,65.279998,1369,1075,1662,2889,53121,3880,21356,42846,35636,12098,53119,3884
1691130145,12,1,0,1,0,65.279998,1373,1078,1666,2893,53202,3888,21372,42903,35726,12150,53233,3892
1691130445,12,1,0,1,0,65.279998,1370,1075,1662,2888,53071,3880,21349,42823,35639,12093,53071,3880
1691130745,12,1,0,1,0,65.279998,1371,1077,1665,2893,53161,3886,21362,42865,35699,12127,53153,3888
1691131045,12,1,0,1,0,65.279998,1288,1011,1556,2713,49378,3596,20046,40270,33656,11443,49591,3610
1691131345,12,1,0,1,0,65.279998,1371,1076,1664,2893,53138,3882,21352,42865,35688,12125,53127,3886
1691131645,12,1,0,1,0,65.279998,1373,1077,1665,2894,53220,3890,21355,42887,35744,12159,53216,3894
1691131945,12,1,0,1,0,65.279998,1373,1078,1666,2896,53243,3888,21362,42895,35737,12160,53206,3894
1691132245,12,1,0,1,0,65.279998,1373,1078,1667,2897,53265,3890,21359,42894,35763,12178,53262,3896
