Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1700795097,12,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,2,0
1700795397,12,1,1,1,0,nan,0,0,0,0,2,0,0,0,0,0,2,0
1700795697,12,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,2,0
1700795997,12,1,1,1,0,nan,0,0,0,0,2,0,0,0,0,0,2,0
1700796297,12,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,1,0
1700796597,12,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,2,0
1700796897,12,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,1,0
1700797197,12,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,1,0
1700797497,12,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,2,0
1700797797,12,1,1,1,0,nan,0,0,0,0,0,0,0,0,0,0,0,0
1700798097,12,1,1,1,0,nan,0,0,0,0,1,0,0,0,0,0,1,0
1700798397,12,1,1,1,0,nan,0,0,0,0,2,0,0,0,0,0,2,0
