Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1689149087,12,1,0,1,0,57.474781,305,233,349,534,9452,804,3839,8273,7459,2867,9457,806
1689149387,12,1,0,1,0,57.474781,305,233,350,536,9474,806,3847,8285,7467,2868,9472,806
1689149687,12,1,0,1,0,57.474781,305,234,350,534,9471,804,3847,8287,7465,2866,9475,804
1689149987,12,1,0,1,0,57.474781,305,234,350,535,9480,804,3848,8289,7474,2871,9473,806
1689150287,12,1,0,1,0,57.474781,305,233,349,535,9453,802,3837,8265,7458,2865,9452,802
1689150587,12,1,0,1,0,57.474781,306,233,350,535,9486,804,3854,8294,7475,2868,9489,808
1689150887,12,1,0,1,0,57.474781,305,233,349,535,9467,804,3846,8280,7467,2865,9463,806
1689151187,12,1,0,1,0,57.474781,305,233,349,535,9453,802,3839,8267,7457,2863,9447,804
1689151487,12,1,0,1,0,57.474781,303,232,347,532,9397,798,3823,8230,7417,2847,9396,800
1689151787,12,1,0,1,0,57.474781,304,233,348,534,9430,800,3839,8258,7434,2848,9433,800
1689152087,12,1,0,1,0,57.474781,303,231,347,531,9403,798,3828,8233,7406,2832,9398,798
1689152387,12,1,0,1,0,57.474781,304,232,349,534,9462,802,3854,8279,7447,2846,9460,804
