"2023-10-14_1_W","2023-10-14_2_C","2023-10-14_3_W","2023-10-14_4_A","2023-10-14_5_A","2023-10-14_6_C","2023-10-14_7_A","2023-10-14_8_W","2023-10-14_9_C","2023-10-14_10_C","2023-10-14_11_C","2023-10-14_12_C"
"2023-10-19_1_C","2023-10-19_2_W","2023-10-19_3_C","2023-10-19_4_C","2023-10-19_5_C","2023-10-19_6_W","2023-10-19_7_C","2023-10-19_8_C","2023-10-19_9_W","2023-10-19_10_A","2023-10-19_11_A","2023-10-19_12_A"
"2023-10-24_1_A","2023-10-24_2_C","2023-10-24_3_A","2023-10-24_4_W","2023-10-24_5_W","2023-10-24_6_C","2023-10-24_7_W","2023-10-24_8_A","2023-10-24_9_C","2023-10-24_10_C","2023-10-24_11_C","2023-10-24_12_C"
"2023-10-29_1_C","2023-10-29_2_A","2023-10-29_3_C","2023-10-29_4_C","2023-10-29_5_C","2023-10-29_6_A","2023-10-29_7_C","2023-10-29_8_C","2023-10-29_9_A","2023-10-29_10_W","2023-10-29_11_W","2023-10-29_12_W"
"2023-11-03_1_W","2023-11-03_2_C","2023-11-03_3_W","2023-11-03_4_A","2023-11-03_5_A","2023-11-03_6_C","2023-11-03_7_A","2023-11-03_8_W","2023-11-03_9_C","2023-11-03_10_C","2023-11-03_11_C","2023-11-03_12_C"
"2023-11-08_1_C","2023-11-08_2_W","2023-11-08_3_C","2023-11-08_4_C","2023-11-08_5_C","2023-11-08_6_W","2023-11-08_7_C","2023-11-08_8_C","2023-11-08_9_W","2023-11-08_10_A","2023-11-08_11_A","2023-11-08_12_A"
"2023-11-13_1_A","2023-11-13_2_C","2023-11-13_3_A","2023-11-13_4_W","2023-11-13_5_W","2023-11-13_6_C","2023-11-13_7_W","2023-11-13_8_A","2023-11-13_9_C","2023-11-13_10_C","2023-11-13_11_C","2023-11-13_12_C"
"2023-11-18_1_C","2023-11-18_2_A","2023-11-18_3_C","2023-11-18_4_C","2023-11-18_5_C","2023-11-18_6_A","2023-11-18_7_C","2023-11-18_8_C","2023-11-18_9_A","2023-11-18_10_W","2023-11-18_11_W","2023-11-18_12_W"
"2023-11-23_1_W","2023-11-23_2_C","2023-11-23_3_W","2023-11-23_4_A","2023-11-23_5_A","2023-11-23_6_C","2023-11-23_7_A","2023-11-23_8_W","2023-11-23_9_C","2023-11-23_10_C","2023-11-23_11_C","2023-11-23_12_C"
"2023-11-28_1_C","2023-11-28_2_W","2023-11-28_3_C","2023-11-28_4_C","2023-11-28_5_C","2023-11-28_6_W","2023-11-28_7_C","2023-11-28_8_C","2023-11-28_9_W","2023-11-28_10_A","2023-11-28_11_A","2023-11-28_12_A"
"2023-12-03_1_A","2023-12-03_2_C","2023-12-03_3_A","2023-12-03_4_W","2023-12-03_5_W","2023-12-03_6_C","2023-12-03_7_W","2023-12-03_8_A","2023-12-03_9_C","2023-12-03_10_C","2023-12-03_11_C","2023-12-03_12_C"
"2023-12-08_1_C","2023-12-08_2_A","2023-12-08_3_C","2023-12-08_4_C","2023-12-08_5_C","2023-12-08_6_A","2023-12-08_7_C","2023-12-08_8_C","2023-12-08_9_A","2023-12-08_10_W","2023-12-08_11_W","2023-12-08_12_W"
"2023-12-13_1_W","2023-12-13_2_C","2023-12-13_3_W","2023-12-13_4_A","2023-12-13_5_A","2023-12-13_6_C","2023-12-13_7_A","2023-12-13_8_W","2023-12-13_9_C","2023-12-13_10_C","2023-12-13_11_C","2023-12-13_12_C"
"2023-12-18_1_C","2023-12-18_2_W","2023-12-18_3_C","2023-12-18_4_C","2023-12-18_5_C","2023-12-18_6_W","2023-12-18_7_C","2023-12-18_8_C","2023-12-18_9_W","2023-12-18_10_A","2023-12-18_11_A","2023-12-18_12_A"
