"","Date","Site","Status"
"227",2023-09-19,11,""
"228",2023-09-19,12,""
"229",2023-09-24,1,""
"230",2023-09-24,2,""
"231",2023-09-24,3,""
"232",2023-09-24,4,""
"233",2023-09-24,5,""
"234",2023-09-24,6,""
"235",2023-09-24,7,""
"236",2023-09-24,8,""
"237",2023-09-24,9,""
"238",2023-09-24,10,""
"239",2023-09-24,11,""
"240",2023-09-24,12,""
"241",2023-09-29,1,""
"242",2023-09-29,2,""
"243",2023-09-29,3,""
"244",2023-09-29,4,""
"245",2023-09-29,5,""
"246",2023-09-29,6,""
"247",2023-09-29,7,""
"248",2023-09-29,8,""
"249",2023-09-29,9,""
"250",2023-09-29,10,""
"251",2023-09-29,11,""
"252",2023-09-29,12,""
"253",2023-10-04,1,""
"254",2023-10-04,2,""
"255",2023-10-04,3,""
"256",2023-10-04,4,""
"257",2023-10-04,5,"B"
"258",2023-10-04,6,""
"259",2023-10-04,7,""
"260",2023-10-04,8,""
"261",2023-10-04,9,"B"
"262",2023-10-04,10,""
"263",2023-10-04,11,""
"264",2023-10-04,12,""
"265",2023-10-09,1,""
"266",2023-10-09,2,""
"267",2023-10-09,3,""
"268",2023-10-09,4,""
"269",2023-10-09,5,""
"270",2023-10-09,6,""
"271",2023-10-09,7,""
"272",2023-10-09,8,""
"273",2023-10-09,9,"B"
"274",2023-10-09,10,""
"275",2023-10-09,11,""
"276",2023-10-09,12,""
"277",2023-10-14,1,""
"278",2023-10-14,2,"B"
"279",2023-10-14,3,""
"280",2023-10-14,4,""
"281",2023-10-14,5,""
"282",2023-10-14,6,""
"283",2023-10-14,7,"B"
"284",2023-10-14,8,"B"
"285",2023-10-14,9,"B"
"286",2023-10-14,10,""
"287",2023-10-14,11,""
"288",2023-10-14,12,""
"289",2023-10-19,1,"ND"
"290",2023-10-19,2,"dep"
"291",2023-10-19,3,""
"292",2023-10-19,4,"dep"
"293",2023-10-19,5,""
"294",2023-10-19,6,"dep"
"295",2023-10-19,7,"dep"
"296",2023-10-19,8,"dep"
"297",2023-10-19,9,"B"
"298",2023-10-19,10,"dep"
"299",2023-10-19,11,"ND?"
"300",2023-10-19,12,"ND?"
"301",2023-10-24,1,""
"302",2023-10-24,2,""
"303",2023-10-24,3,""
"304",2023-10-24,4,""
"305",2023-10-24,5,""
"306",2023-10-24,6,""
"307",2023-10-24,7,""
"308",2023-10-24,8,""
"309",2023-10-24,9,""
"310",2023-10-24,10,""
"311",2023-10-24,11,""
"312",2023-10-24,12,""
"313",2023-10-29,1,"ND"
"314",2023-10-29,2,""
"315",2023-10-29,3,""
"316",2023-10-29,4,""
"317",2023-10-29,5,""
"318",2023-10-29,6,""
"319",2023-10-29,7,""
"320",2023-10-29,8,""
"321",2023-10-29,9,"ND"
"322",2023-10-29,10,""
"323",2023-10-29,11,"ND"
"324",2023-10-29,12,""
"325",2023-11-03,1,"ND"
"326",2023-11-03,2,""
"327",2023-11-03,3,""
"328",2023-11-03,4,""
"329",2023-11-03,5,"ND?"
"330",2023-11-03,6,""
"331",2023-11-03,7,""
"332",2023-11-03,8,""
"333",2023-11-03,9,"ND?"
"334",2023-11-03,10,""
"335",2023-11-03,11,"ND?"
"336",2023-11-03,12,""
"337",2023-11-08,1,""
"338",2023-11-08,2,"B"
"339",2023-11-08,3,"B"
"340",2023-11-08,4,""
"341",2023-11-08,5,""
"342",2023-11-08,6,""
"343",2023-11-08,7,""
"344",2023-11-08,8,"B"
"345",2023-11-08,9,""
"346",2023-11-08,10,"L"
"347",2023-11-08,11,""
"348",2023-11-08,12,"B"
"349",2023-11-13,1,""
"350",2023-11-13,2,"B"
"351",2023-11-13,3,"B"
"352",2023-11-13,4,"B"
"353",2023-11-13,5,"dep"
"354",2023-11-13,6,""
"355",2023-11-13,7,"B"
"356",2023-11-13,8,"B"
"357",2023-11-13,9,""
"358",2023-11-13,10,""
"359",2023-11-13,11,""
"360",2023-11-13,12,"B"
"361",2023-11-18,1,""
"362",2023-11-18,2,"ND"
"363",2023-11-18,3,""
"364",2023-11-18,4,""
"365",2023-11-18,5,""
"366",2023-11-18,6,""
"367",2023-11-18,7,""
"368",2023-11-18,8,""
"369",2023-11-18,9,""
"370",2023-11-18,10,""
"371",2023-11-18,11,""
"372",2023-11-18,12,""
"373",2023-11-23,1,"BW"
"374",2023-11-23,2,"BC"
