Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1693217043,4,0,1,1,0,82.620002,2621,6730,8750,16858,65535,5200,26506,36446,45401,26683,65535,5206
1693217344,4,0,1,1,0,82.620002,2617,6712,8730,16823,65535,5186,26452,36341,45314,26613,65535,5194
1693217645,4,0,1,1,0,82.620002,2611,6699,8707,16799,65535,5180,26390,36284,45230,26564,65535,5188
1693217946,4,0,1,1,0,82.620002,2610,6697,8710,16795,65535,5180,26404,36273,45228,26562,65535,5186
1693218247,4,0,1,1,0,82.620002,2604,6679,8691,16770,65535,5170,26340,36175,45131,26499,65535,5176
1693218548,4,0,1,1,0,82.620002,2600,6670,8677,16754,65535,5164,26317,36142,45085,26480,65535,5170
1693218849,4,0,1,1,0,82.620002,2601,6669,8679,16764,65535,5166,26324,36149,45100,26497,65535,5170
1693219150,4,0,1,1,0,82.620002,2599,6670,8672,16750,65535,5162,26310,36115,45064,26469,65535,5170
1693219451,4,0,1,1,0,82.620002,2600,6665,8677,16750,65535,5162,26307,36122,45057,26459,65535,5166
1693219752,4,0,1,1,0,82.620002,2600,6668,8679,16754,65535,5168,26314,36164,45092,26479,65535,5172
1693220053,4,0,1,1,0,82.620002,2597,6658,8669,16743,65535,5160,26284,36102,45037,26448,65535,5164
1693220354,4,0,1,1,0,82.620002,2596,6660,8666,16737,65535,5162,26275,36084,45038,26463,65535,5166
