Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1690931083,4,1,1,0,0,8751.102539,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690931383,4,1,1,0,0,8326.852539,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690931683,4,1,1,0,0,8369.989257,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690931983,4,1,1,0,0,8257.338867,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690932283,4,1,1,0,0,8109.774414,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690932583,4,1,1,0,0,7999.837402,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690932883,4,1,1,0,0,8096.717773,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690933183,4,1,1,0,0,8103.516113,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690933483,4,1,1,0,0,7986.794433,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690933783,4,1,1,0,0,8022.957519,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690934083,4,1,1,0,0,8126.202148,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1690934383,4,1,1,0,0,8261.993164,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
