Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1692669837,3,1,1,0,0,341.346527,10677,16078,20254,22612,65535,52502,22695,22813,25557,27439,65535,52530
1692670137,3,1,1,0,0,323.014465,9940,15003,18956,21165,65535,47811,21223,21342,24056,25935,65535,47817
1692670437,3,1,1,0,0,297.700103,9215,13943,17662,19730,65535,43556,19751,19870,22524,24434,65535,43581
1692670737,3,1,1,0,0,279.529754,8527,12902,16385,18326,65535,40404,18344,18475,21129,23086,65535,40420
1692671037,3,1,1,0,0,255.924789,7770,11778,14964,16736,65535,36932,16684,16816,19317,21273,65535,36927
1692671337,3,1,1,0,0,237.755401,7124,10798,13754,15415,64995,34420,15382,15538,18017,20024,65010,34427
1692671637,3,1,1,0,0,210.778579,6427,9735,12409,13919,59191,31576,13869,14056,16443,18481,59217,31571
1692671937,3,1,1,0,0,187.174514,5662,8566,10911,12223,52497,28260,12128,12314,14528,16529,52551,28276
1692672237,3,1,1,0,0,163.570907,4929,7450,9476,10594,45963,25040,10449,10618,12662,14594,45963,25041
1692672537,3,1,1,0,0,136.437133,4172,6303,7996,8891,38962,21527,8688,8828,10623,12423,38949,21530
1692672837,3,1,1,0,0,114.476516,3414,5158,6517,7193,31812,17848,6943,7043,8553,10153,31811,17846
1692673137,3,1,1,0,0,85.754188,2750,4155,5232,5726,25597,14672,5450,5523,6784,8198,25604,14670
