Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
946760480,3,1,0,0,0,182.730895,9096,12419,14158,15080,65535,65535,14621,14242,14432,15407,65535,65535
946760780,3,1,0,0,0,191.850677,9646,13097,14863,15826,65535,65535,15370,15010,15143,16157,65535,65535
946761080,3,1,0,0,0,200.988067,10181,13746,15532,16539,65535,65535,16092,15757,15829,16896,65535,65535
946761380,3,1,0,0,0,209.105026,10736,14425,16216,17293,65535,65535,16860,16570,16557,17699,65535,65535
946761680,3,1,0,0,0,217.264724,11321,15128,16925,18096,65535,65535,17709,17462,17384,18670,65535,65535
946761980,3,1,0,0,0,228.497894,11906,15842,17664,18943,65535,65535,18641,18438,18306,19752,65535,65535
946762280,3,1,0,0,0,237.698410,12420,16458,18300,19680,65535,65535,19455,19276,19075,20661,65535,65535
946762580,3,1,0,0,0,249.936569,12981,17137,19002,20515,65535,65535,20375,20238,19975,21733,65535,65535
946762880,3,1,0,0,0,257.179107,13536,17811,19713,21365,65535,65535,21327,21266,20969,22918,65535,65535
946763180,3,1,0,0,0,272.432037,14065,18463,20390,22181,65535,65535,22264,22280,21966,24108,65535,65535
946763480,3,1,0,0,0,280.672943,14610,19097,21029,22964,65535,65535,23115,23165,22723,25055,65535,65535
946763780,3,1,0,0,0,291.936157,15169,19768,21726,23829,65535,65535,24144,24238,23718,26268,65535,65535
